2024-08-21 14:53:28.252 [info] File sync client created: https://api2.cursor.sh
2024-08-21 14:53:28.252 [info] File sync client created: https://api2.cursor.sh
2024-08-21 14:53:29.094 [info] [ENABLED STATUS] Filesync is NOT enabled.
2024-08-21 14:58:29.713 [info] [ENABLED STATUS] Filesync is NOT enabled.
2024-08-21 15:03:29.285 [info] [ENABLED STATUS] Filesync is NOT enabled.
2024-08-21 15:08:29.283 [info] [ENABLED STATUS] Filesync is NOT enabled.
2024-08-21 15:13:29.291 [info] [ENABLED STATUS] Filesync is NOT enabled.
2024-08-21 15:18:29.262 [info] [ENABLED STATUS] Filesync is NOT enabled.
2024-08-21 15:23:29.284 [info] [ENABLED STATUS] Filesync is NOT enabled.
2024-08-21 15:28:29.297 [info] [ENABLED STATUS] Filesync is NOT enabled.
2024-08-21 15:33:29.288 [info] [ENABLED STATUS] Filesync is NOT enabled.
2024-08-21 15:38:29.287 [info] [ENABLED STATUS] Filesync is NOT enabled.
